title,score,episode,aired,user
Saenai Heroine no Sodatekata Fine,8.43,Movie (1 eps),Oct 2019 - Oct 2019,"174,590 members"
Karakai Jouzu no Takagi-san 3,8.42,TV (12 eps),Jan 2022 - Mar 2022,"174,186 members"
Kono Oto Tomare! Part 2,8.42,TV (13 eps),Oct 2019 - Dec 2019,"166,556 members"
Koukaku Kidoutai: Stand Alone Complex,8.42,TV (26 eps),Oct 2002 - Oct 2003,"387,014 members"
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,Movie (1 eps),Sep 2018 - Sep 2018,"68,515 members"
Saiki Kusuo no Ψ-nan 2,8.42,TV (24 eps),Jan 2018 - Jun 2018,"611,039 members"
Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.42,TV (12 eps),Jul 2023 -,"120,035 members"
Hunter x Hunter,8.41,TV (62 eps),Oct 1999 - Mar 2001,"569,175 members"
Josee to Tora to Sakana-tachi,8.41,Movie (1 eps),Dec 2020 - Dec 2020,"388,936 members"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,TV (12 eps),Jan 2019 - Mar 2019,"1,651,998 members"
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie (1 eps),Sep 2019 - Sep 2019,"396,425 members"
Vivy: Fluorite Eye's Song,8.41,TV (13 eps),Apr 2021 - Jun 2021,"505,182 members"
Mo Dao Zu Shi,8.41,ONA (15 eps),Jul 2018 - Oct 2018,"220,258 members"
Saiki Kusuo no Ψ-nan,8.41,TV (120 eps),Jul 2016 - Dec 2016,"1,048,452 members"
Shingeki no Kyojin: Kuinaki Sentaku,8.41,OVA (2 eps),Dec 2014 - Apr 2015,"492,937 members"
Major S5,8.40,TV (25 eps),Jan 2009 - Jun 2009,"69,266 members"
Natsume Yuujinchou Roku Specials,8.40,Special (2 eps),Sep 2017 - Oct 2017,"44,770 members"
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.40,Movie (1 eps),Feb 2018 - Feb 2018,"408,166 members"
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.39,Movie (1 eps),Aug 2009 - Aug 2009,"201,710 members"
Kaze ga Tsuyoku Fuiteiru,8.39,TV (23 eps),Oct 2018 - Mar 2019,"288,005 members"
Kimetsu no Yaiba: Mugen Ressha-hen,8.39,TV (7 eps),Oct 2021 - Nov 2021,"657,772 members"
